session_id,days_from_train,split,r2_mean,r2_primary,r2_uniform,n_samples
S0_set_1,0.0,train_session_refit_eval,0.4484348162679753,0.4484348162679753,0.34872802465638914,5769
S0_set_2,0.0,held_out,0.3010788042563981,0.3010788042563981,0.15176337821819189,3229
S0_set_1,0.0,held_out,0.5552475423208418,0.5552475423208418,0.32654760482821005,780
S0_set_2,0.0,held_out,0.024362661738726088,0.024362661738726088,-3.3913004624701975,888
S1_set_1,7.0,held_out,0.161475795669599,0.161475795669599,0.04677144043213718,6454
S1_set_2,7.0,held_out,0.14412589151881944,0.14412589151881944,0.0872628718822002,3621
S1_set_3,7.0,held_out,0.0897675819396654,0.0897675819396654,0.019006739116159004,3347
S1_set_1,7.0,held_out,-0.04056235021462437,-0.04056235021462437,-0.17723142957985047,909
S1_set_2,7.0,held_out,0.2041056378758739,0.2041056378758739,0.07799793297204584,982
S1_set_3,7.0,held_out,0.2042446460304452,0.2042446460304452,-6.338242555363323,909
S2_set_1,12.0,held_out,-0.06920055488710944,-0.06920055488710944,-0.05881456566687266,5928
S2_set_2,12.0,held_out,-0.14008120327145895,-0.14008120327145895,-0.08874705591052044,6160
S2_set_1,12.0,held_out,0.0815737271135984,0.0815737271135984,-0.09771163547923882,725
S2_set_2,12.0,held_out,-0.05485467662168291,-0.05485467662168291,-0.030274535011152688,812
S3_set_1,14.0,held_out,-0.19186047875997544,-0.19186047875997544,-0.17857940751181917,5323
S3_set_2,14.0,held_out,-0.1833788372686857,-0.1833788372686857,-0.09360781175468035,6546
S3_set_1,14.0,held_out,-0.2627753601445025,-0.2627753601445025,-2.701713608406823,800
S3_set_2,14.0,held_out,-0.23012714506408477,-0.23012714506408477,-0.23206407121896908,786
S4_set_1,18.0,held_out,-0.09319783441215888,-0.09319783441215888,-0.0412280277329044,6294
S4_set_2,18.0,held_out,-0.05674232115393756,-0.05674232115393756,0.007137299383088063,6241
S4_set_1,18.0,held_out,-0.35849519567406757,-0.35849519567406757,-4.027824753010857,824
S4_set_2,18.0,held_out,-0.12288449669655412,-0.12288449669655412,-0.09734823106288047,836
S5_set_1,19.0,held_out,-0.2562851050022726,-0.2562851050022726,-0.21366367261976962,6326
S5_set_2,19.0,held_out,-0.1939402556799619,-0.1939402556799619,-0.15855980032687844,5789
S5_set_1,19.0,held_out,-0.1880792503064777,-0.1880792503064777,-0.4819317338146428,737
S5_set_2,19.0,held_out,-0.24798346179518024,-0.24798346179518024,-0.2759460591576562,794
S6_set_1,25.0,held_out,-0.6017300955690211,-0.6017300955690211,-0.5613028221330486,1202
S6_set_2,25.0,held_out,-0.6600242166852179,-0.6600242166852179,-0.4599220611252096,1236
S7_set_1,26.0,held_out,-0.41616426151649877,-0.41616426151649877,-0.49705880286654786,1272
S7_set_2,26.0,held_out,-0.5725354694734395,-0.5725354694734395,-0.4260055125963274,1376
S8_set_1,28.0,held_out,-1.0122532527728216,-1.0122532527728216,-0.749985841081185,1297
S8_set_2,28.0,held_out,-1.0176866284221053,-1.0176866284221053,-0.6229722019267305,1189
S9_set_1,32.0,held_out,-0.8662407301699652,-0.8662407301699652,-0.5801929764907866,1261
S9_set_2,32.0,held_out,-1.0812426269348676,-1.0812426269348676,-0.6497559225633586,1324
S10_set_1,33.0,held_out,-1.4538538141936226,-1.4538538141936226,-0.8898022910684995,1204
S10_set_2,33.0,held_out,-0.6212957103641494,-0.6212957103641494,-0.46627053724754275,1233
S11_set_1,36.0,held_out,-0.11626204551520841,-0.11626204551520841,-0.19803520889722975,1278
S11_set_2,36.0,held_out,-0.09368114747761465,-0.09368114747761465,-0.0817555346156175,1265
S12_set_1,39.0,held_out,-0.27464360766528395,-0.27464360766528395,-1.0960087074318547,1392
S12_set_2,39.0,held_out,-0.17532864416840202,-0.17532864416840202,-0.6003186858936195,1378
